AccX,AccY,AccZ,Acc_Mag,Altitude,Delta_Pitch,Delta_Roll,GyroX,GyroY,GyroZ,Gyro_Mag,Jerk,Pitch,Roll,Speed,Yaw,Delta_Altitude,Label
-0.327407092,1.420958757,9.623494148,9.733342633,855.5999756,0.112461253,0.248588045,-0.002396843,0.004127896,0.009853689,0.010948953,0.039737194,8.190958978,1.904914587,0.091340683,81.80457344,0,Normal Driving
-0.274734646,1.430535555,9.508571625,9.619503389,855.5999756,0.361333278,0.249907069,-0.002396843,0.004127896,0.009853689,0.010948953,0.113839245,8.552292256,1.655007518,0.091340683,81.44419146,0,Normal Driving
-0.255581021,1.344344258,9.637859344,9.734521862,855.5999756,0.019290698,0.024532054,-0.016378429,0.003062633,0.007590003,0.018309582,0.007631868,7.801853924,1.605171816,0.091340683,82.19512109,0,Normal Driving
-0.279523045,1.382651448,9.628282547,9.731067925,855.5999756,0.366735617,0.057740912,-0.016378429,0.003062633,0.007590003,0.018309582,0.003453937,8.168589541,1.662912728,0.091340683,81.82801531,0,Normal Driving
-0.241215825,1.416170359,9.613917351,9.720654833,855.5999756,0.175552018,0.001654736,-0.016378429,0.003062633,0.007590003,0.018309582,0.010413092,8.344141559,1.664567465,0.091340683,81.65238548,0,Normal Driving
-0.289099842,1.459265947,9.61870575,9.733064066,855.5999756,0.2786549,0.056996343,-0.016378429,0.003062633,0.007590003,0.018309582,0.012409233,8.622796459,1.721563808,0.091340683,81.37336823,0,Normal Driving
-0.284311444,1.468842745,9.604340553,9.72016921,855.5999756,0.068628512,0.025966913,-0.016378429,0.003062633,0.007590003,0.018309582,0.012894856,8.691424971,1.695596894,0.091340683,81.30482589,0,Normal Driving
-0.226850614,1.325190663,9.613917351,9.707471263,855.5999756,0.845338459,0.343892812,-0.016378429,0.003062633,0.007590003,0.018309582,0.012697947,7.846086511,1.351704082,0.091340683,82.15175676,0,Normal Driving
-0.236427411,1.353921056,9.623494148,9.721143954,855.5999756,0.071927226,0.30544288,-0.013182637,0.001065264,-0.000932106,0.013258414,0.037739165,7.918013737,1.657146962,0.091340683,82.07871536,0,Normal Driving
-0.226850614,1.358709455,9.575610161,9.674185368,855.5999756,0.155694159,0.300037411,-0.013182637,0.001065264,-0.000932106,0.013258414,0.046958586,8.073707896,1.35710955,0.091340683,81.92405667,0,Normal Driving
-0.265157849,1.37786305,9.575610161,9.677867803,855.5999756,0.111452925,0.229060316,-0.013182637,0.001065264,-0.000932106,0.013258414,0.003682435,8.185160822,1.586169866,0.091340683,81.81174417,0,Normal Driving
-0.356137514,1.430535555,9.570821762,9.683692225,855.5999756,0.310021607,0.5448662,-0.013182637,0.001065264,-0.000932106,0.013258414,0.005824421,8.495182428,2.131036066,0.091340683,81.4990241,0,Normal Driving
-0.380079508,1.430535555,9.561244011,9.67513718,855.5999756,0.01578627,0.176350253,-0.013182637,0.001065264,-0.000932106,0.013258414,0.008555045,8.510968698,2.307386319,0.091340683,81.48222639,0,Normal Driving
-0.356137514,1.401805043,9.594763756,9.703163548,855.5999756,0.008218968,0.030957472,-0.013182637,0.001065264,-0.000932106,0.013258414,0.028026368,8.50274973,2.276428847,0.091340683,81.49063305,0,Normal Driving
-0.360925913,1.382651448,9.657012939,9.76216633,855.5999756,0.126008187,0.202457958,0.010120004,0.012250531,-0.015046849,0.021883731,0.004418741,8.14239075,2.140404177,0.091340683,81.85200069,0,Normal Driving
-0.289099842,1.373074651,9.537302017,9.639971083,855.5999756,0.009151617,0.218424306,0.010120004,0.012250531,-0.015046849,0.021883731,0.122195247,8.151542367,1.921979871,0.091340683,81.8439309,0,Normal Driving
-0.293888271,1.353921056,9.532513618,9.632667773,855.5999756,0.071570766,0.156105067,0.010120004,0.012250531,-0.015046849,0.021883731,0.00730331,8.079971601,1.765874805,0.091340683,81.91624006,0,Normal Driving
-0.313041866,1.516726732,9.154230118,9.284308496,855.5999756,0.44317084,0.449899903,0.010120004,0.012250531,-0.015046849,0.021883731,0.348359278,7.636800761,1.315974902,0.091340683,82.36120825,0,Normal Driving
-0.566827238,1.392228246,7.813477039,7.956759142,855.5999756,1.765439333,0.642572238,0.010120004,0.012250531,-0.015046849,0.021883731,1.327549353,9.402240094,1.958547139,0.091340683,80.59236227,0,Normal Driving
-0.849343061,1.535880446,10.50455952,10.65016822,855.5999756,0.503953003,3.253830829,0.010120004,0.012250531,-0.015046849,0.021883731,2.693409073,9.906193097,5.212377968,0.091340683,80.05349249,0,Normal Driving
0.323815793,0.233434662,10.02571964,10.03366348,855.5999756,10.19494532,9.696087273,0.124635845,0.049268443,-0.000399474,0.134021017,0.616504739,-1.903303559,-5.073509759,0.111051131,91.91078438,0,Normal Driving
0.323815793,0.233434662,10.02571964,10.03366348,855.5999756,3.236418609,3.223584626,0.124635845,0.049268443,-0.000399474,0.134021017,0,1.33311505,-1.849925133,0.111051131,88.66619003,0,Normal Driving
-0.293888271,0.812831461,9.45111084,9.490551165,855.5999756,3.580080881,3.630999731,0.021837905,0.017976323,-0.000399474,0.02828784,0.543112312,4.913195931,1.781074597,0.116819926,85.0844409,0,Normal Driving
0.639850378,-0.202310041,10.01614285,10.03859828,855.5999756,6.067968336,5.436271905,0.021837905,0.017976323,-0.000399474,0.02828784,0.548047112,-1.154772405,-3.655197308,0.116819926,91.15712562,0,Normal Driving
0.673369229,-0.130484,10.06881523,10.09215004,855.5999756,0,0,0.021837905,0.017976323,-0.000399474,0.02828784,0.05355176,-1.154772405,-3.655197308,0.116819926,91.15712562,0,Normal Driving
0.180163682,0.381875157,9.92037487,9.929356734,855.5999756,3.358866062,2.614764455,0.021837905,0.017976323,-0.000399474,0.02828784,0.162793302,2.204093657,-1.040432853,0.116819926,87.79554325,0,Normal Driving
-0.293888271,0.654814184,9.168595314,9.196645691,855.5999756,1.878901757,2.876351403,0.021837905,0.017976323,-0.000399474,0.02828784,0.732711043,4.082995413,1.835918551,0.116819926,85.91491469,0,Normal Driving
-0.226850614,1.243787766,9.202114105,9.288561418,855.5999756,1.147738488,0.95072217,-0.002663159,-0.001065264,0.00719053,0.007741506,1.369779399,9.042981759,1.168365804,0.116819926,80.95516884,0,Normal Driving
-0.226850614,1.243787766,9.202114105,9.288561418,855.5999756,1.347657283,0.243804334,-0.002663159,-0.001065264,0.00719053,0.007741506,0,7.695324475,1.412170138,0.116819926,82.3023656,0,Normal Driving
0.472256273,1.013944387,9.829395294,9.892831802,855.5999756,0.52869899,0.124878537,-0.002663159,-0.001065264,0.00719053,0.007741506,0.604270384,7.166625485,1.287291601,0.116819926,82.83158414,0,Normal Driving
-0.274734646,1.401805043,10.10233402,10.20282751,855.5999756,1.283888252,4.037969467,-0.002663159,-0.001065264,0.00719053,0.007741506,0.309995709,5.882737233,-2.750677866,0.116819926,84.11052464,0,Normal Driving
0.242412925,0.894234359,9.542090416,9.586965559,855.5999756,0,0,-0.002663159,-0.001065264,0.00719053,0.007741506,0.615861952,5.882737233,-2.750677866,0.116819926,84.11052464,0,Normal Driving
-0.514154792,1.066616893,9.369708061,9.444228709,855.5999756,0.60199709,5.891585148,-0.002663159,-0.001065264,0.00719053,0.007741506,0.14273685,6.484734323,3.140907283,0.116819926,83.50559298,0,Normal Driving
-0.188543379,0.870292306,9.795876503,9.836267268,855.5999756,0.748425152,2.226894694,0.012916322,-0.020772642,0.246608526,0.247818681,0.319529656,5.755131804,0.325581335,0.116819926,84.2447759,0,Normal Driving
